"matricula","data_admissao","cargo","mes_referencia","remuneracao_bruta","remuneracao_eventual","beneficios","descontos_legais","remuneracao_liquida"
"507","01/10/2015","MEMBRO DA COMISSAO PERMANENTE DE LICITACAO FG1","8/2017","11360,43","5680,22","0,00","2875,38","14165,27"
"506","28/09/2015","MEMBRO DA COMISSAO PERMANENTE DE PROCESSO ADM. DISCIPLINAR FG1","8/2017","13046,20","0,00","1635,76","3923,24","10758,72"
"527","23/05/2016","MEMBRO DA COMISSAO PERMANENTE DE PROCESSO ADM. DISCIPLINAR FG1","8/2017","13046,20","0,00","1635,76","3923,24","10758,72"
"200","01/07/1991","OFICIAL DE TRANSP. E APOIO","8/2017","22830,02","0,00","2511,30","7815,92","17525,40"
"350","18/02/1993","OFICIAL DE TRANSP. E APOIO","8/2017","21087,90","0,00","2319,67","7197,35","16210,22"
"362","01/03/1993","OFICIAL DE TRANSP. E APOIO","8/2017","23246,08","0,00","0,00","6453,60","16792,48"
"209","23/09/1991","OFICIAL LEGISLATIVO II","8/2017","23246,08","0,00","0,00","7377,19","15868,89"
"244","01/11/1991","OFICIAL LEGISLATIVO II","8/2017","4649,19","0,00","0,00","806,28","3842,91"
"10395","21/02/2017","OUVIDOR - CEDIDO","8/2017","20547,33","0,00","0,00","5238,18","15309,15"
"365","25/08/2014","PREGOEIRO FG2","8/2017","12553,19","0,00","0,00","3151,25","9401,94"
"20127","08/03/2016","PREGOEIRO FG2 - CEDIDO","8/2017","4565,17","0,00","0,00","236,96","4328,21"
"8024","01/01/2005","PRESIDENTE","8/2017","10070,86","0,00","0,00","2341,25","7729,61"
"382","27/08/2014","PRESIDENTE COMISSAO PERMANENTE PROCESSO ADM. DISCIPLINAR FG2","8/2017","14238,96","0,00","1635,76","4251,25","11623,47"
"455","03/11/2014","PRESIDENTE DA COMISSAO PERMANENTE DE LICITACAO FG2","8/2017","13020,12","0,00","0,00","3264,76","9755,36"
"392","28/08/2014","PRESIDENTE DA COMISSAO PERMANENTE DE SINDICANCIA FG2","8/2017","14996,39","0,00","1635,76","4519,95","12112,20"
"292","22/03/1991","PROCURADOR CHEFE ADJUNTO FG5","8/2017","28835,35","0,00","1635,76","9940,26","20530,85"
"441","21/10/2014","PROCURADOR I","8/2017","9467,90","0,00","1635,76","2939,21","8164,45"
"443","22/10/2014","PROCURADOR I","8/2017","9467,90","0,00","1635,76","2939,21","8164,45"
"444","23/10/2014","PROCURADOR I","8/2017","9467,90","0,00","1635,76","2939,21","8164,45"
"10268","01/01/2017","SECRETARIO GERAL","8/2017","22592,61","0,00","0,00","5732,59","16860,02"
"81","23/07/1982","SUPERINTENDENTE DE REDAÇÃO LEGISLATIVA","8/2017","23246,08","0,00","2557,07","8080,38","17722,77"
"250","25/11/1991","TÉCNICO DE INFORMÁTICA","8/2017","23246,08","0,00","0,00","7272,91","15973,17"
"370","27/08/2014","TECNICO DE TRANSCRIÇÃO I","8/2017","3550,46","0,00","0,00","481,30","3069,16"
"377","01/09/2014","TECNICO DE TRANSCRIÇÃO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"427","05/09/2014","TECNICO DE TRANSCRIÇÃO I","8/2017","3834,50","0,00","0,00","578,90","3255,60"
"484","18/06/2015","TECNICO DE TRANSCRIÇÃO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"378","26/08/2014","TECNICO LEGISLATIVO I","8/2017","3763,49","0,00","0,00","479,74","3283,75"
"383","29/08/2014","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"385","28/08/2014","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"406","02/09/2014","TECNICO LEGISLATIVO I","8/2017","3798,99","0,00","0,00","570,26","3228,73"
"407","12/09/2014","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","413,10","3137,36"
"409","08/09/2014","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"410","03/09/2014","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"413","02/09/2014","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"415","08/09/2014","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","481,30","3069,16"
"416","08/09/2014","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"421","10/09/2014","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"425","08/09/2014","TECNICO LEGISLATIVO I","8/2017","3727,98","1242,66","0,00","552,96","4417,68"
"429","05/09/2014","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"430","08/09/2014","TECNICO LEGISLATIVO I","8/2017","3941,01","0,00","0,00","604,83","3336,18"
"431","09/09/2014","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"433","18/09/2014","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"437","24/09/2014","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"438","16/09/2014","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"448","03/11/2014","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"453","31/10/2014","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"465","19/12/2014","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"469","30/03/2015","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"490","24/06/2015","TECNICO LEGISLATIVO I","8/2017","3834,50","0,00","0,00","478,08","3356,42"
"491","29/06/2015","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"492","06/07/2015","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"493","07/07/2015","TECNICO LEGISLATIVO I","8/2017","3550,46","1183,49","0,00","509,74","4224,21"
"494","06/07/2015","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"495","15/07/2015","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"497","07/07/2015","TECNICO LEGISLATIVO I","8/2017","3550,46","1183,49","0,00","509,74","4224,21"
"498","07/07/2015","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"500","29/07/2015","TECNICO LEGISLATIVO I","8/2017","3798,99","0,00","0,00","570,26","3228,73"
"501","29/07/2015","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"516","15/10/2015","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"517","01/12/2015","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"521","16/02/2016","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"529","27/06/2016","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"531","27/06/2016","TECNICO LEGISLATIVO I","8/2017","3550,46","2958,72","0,00","509,74","5999,44"
"532","15/07/2016","TECNICO LEGISLATIVO I","8/2017","3550,46","0,00","0,00","509,74","3040,72"
"541","21/07/2017","TECNICO LEGISLATIVO I","8/2017","3905,51","1242,66","0,00","918,43","4229,74"
"545","03/07/2017","TECNICO LEGISLATIVO I","8/2017","3768,23","0,00","0,00","414,51","3353,72"
"208","05/08/1991","TÉCNICO OPERAC. DE REDES E EQUIP.","8/2017","23246,08","0,00","0,00","7220,78","16025,30"
"157","25/02/1991","TÉCNICO OPERAC. DE SISTEMAS","8/2017","23246,08","0,00","0,00","7377,19","15868,89"
"37","15/03/1999","VEREADOR","8/2017","10070,86","0,00","0,00","2236,97","7833,89"
"8000","01/01/2001","VEREADOR","8/2017","10070,86","0,00","0,00","2341,25","7729,61"
"8001","01/01/2001","VEREADOR","8/2017","10070,86","0,00","0,00","2132,70","7938,16"
"8016","01/01/2005","VEREADOR","8/2017","10070,86","0,00","0,00","2236,97","7833,89"
"8017","01/01/2005","VEREADOR","8/2017","10070,86","0,00","0,00","2341,25","7729,61"
"8034","01/01/2009","VEREADOR","8/2017","10070,86","0,00","0,00","2184,83","7886,03"
"8043","01/01/2009","VEREADOR","8/2017","10070,86","0,00","0,00","2236,97","7833,89"
"8055","12/12/2011","VEREADOR","8/2017","10070,86","0,00","0,00","2184,83","7886,03"
"8061","01/01/2013","VEREADOR","8/2017","10070,86","0,00","0,00","2289,11","7781,75"
"8063","01/01/2013","VEREADOR","8/2017","10070,86","0,00","0,00","2236,97","7833,89"
"8064","01/01/2013","VEREADOR","8/2017","10070,86","0,00","0,00","2184,83","7886,03"
"8065","01/01/2013","VEREADOR","8/2017","10070,86","0,00","0,00","2289,11","7781,75"
"8066","01/01/2013","VEREADOR","8/2017","10070,86","0,00","0,00","2236,97","7833,89"
"8067","01/01/2013","VEREADOR","8/2017","10070,86","0,00","0,00","2341,25","7729,61"
"8068","01/01/2013","VEREADOR","8/2017","10070,86","0,00","0,00","2341,25","7729,61"
"8072","01/01/2013","VEREADOR","8/2017","10070,86","0,00","0,00","2341,25","7729,61"
"8074","01/01/2013","VEREADOR","8/2017","10070,86","0,00","0,00","2289,11","7781,75"
"8075","01/01/2013","VEREADOR","8/2017","10070,86","0,00","0,00","2236,97","7833,89"
"8076","01/01/2013","VEREADOR","8/2017","10070,86","0,00","0,00","2316,81","7754,05"
"8081","01/02/2015","VEREADOR","8/2017","10070,86","0,00","0,00","2289,11","7781,75"
"8084","01/01/2017","VEREADOR","8/2017","10070,86","0,00","0,00","2341,25","7729,61"
"8085","01/01/2017","VEREADOR","8/2017","10070,86","0,00","0,00","2289,11","7781,75"
"8086","01/01/2017","VEREADOR","8/2017","10070,86","0,00","0,00","2341,25","7729,61"
"8087","01/01/2017","VEREADOR","8/2017","10070,86","0,00","0,00","2289,11","7781,75"
"8088","01/01/2017","VEREADOR","8/2017","10070,86","0,00","0,00","2341,25","7729,61"
"8089","01/01/2017","VEREADOR","8/2017","10070,86","0,00","0,00","2341,25","7729,61"
"8090","01/01/2017","VEREADOR","8/2017","10070,86","0,00","0,00","2289,11","7781,75"
"8091","01/01/2017","VEREADOR","8/2017","10070,86","0,00","0,00","2289,11","7781,75"
"8092","01/01/2017","VEREADOR","8/2017","10070,86","0,00","0,00","1532,56","8538,30"
"8093","03/01/2017","VEREADOR","8/2017","10070,86","0,00","0,00","2341,25","7729,61"
"8094","03/01/2017","VEREADOR","8/2017","10070,86","0,00","0,00","2341,25","7729,61"
"8095","01/01/2017","VEREADOR","8/2017","10070,86","0,00","0,00","2341,25","7729,61"
