"matricula","data_admissao","cargo","mes_referencia","remuneracao_bruta","remuneracao_eventual","beneficios","descontos_legais","remuneracao_liquida"
"10459","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10460","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10461","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10462","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","362,66","2657,95"
"10463","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","362,66","2657,95"
"10464","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10465","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","362,66","2657,95"
"10466","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","348,44","2672,17"
"10468","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10469","21/06/2017","ASSESSOR DE GABINETE","8/2017","3232,05","0,00","0,00","432,21","2799,84"
"10470","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10471","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10472","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10473","21/06/2017","ASSESSOR DE GABINETE","8/2017","3685,14","0,00","0,00","514,10","3171,04"
"10474","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","362,66","2657,95"
"10475","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","376,88","2643,73"
"10476","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","376,88","2643,73"
"10477","21/06/2017","ASSESSOR DE GABINETE","8/2017","3262,26","0,00","0,00","419,59","2842,67"
"10478","21/06/2017","ASSESSOR DE GABINETE","8/2017","3383,08","0,00","0,00","398,28","2984,80"
"10480","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","376,88","2643,73"
"10481","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","376,88","2643,73"
"10482","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10483","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10484","21/06/2017","ASSESSOR DE GABINETE","8/2017","3262,26","0,00","0,00","439,56","2822,70"
"10485","21/06/2017","ASSESSOR DE GABINETE","8/2017","3262,26","0,00","0,00","439,56","2822,70"
"10487","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10488","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","376,88","2643,73"
"10489","21/06/2017","ASSESSOR DE GABINETE","8/2017","0,00","269,34","0,00","21,55","247,79"
"10490","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","376,88","2643,73"
"10491","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10492","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","376,88","2643,73"
"10493","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10494","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10495","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","376,88","2643,73"
"10496","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10497","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","376,88","2643,73"
"10499","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10500","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10501","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","376,88","2643,73"
"10502","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","376,88","2643,73"
"10503","21/06/2017","ASSESSOR DE GABINETE","8/2017","3262,26","0,00","0,00","419,59","2842,67"
"10504","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10505","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","376,88","2643,73"
"10506","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","376,88","2643,73"
"10507","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10508","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10509","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","362,66","2657,95"
"10510","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10511","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","376,88","2643,73"
"10512","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","362,66","2657,95"
"10513","21/06/2017","ASSESSOR DE GABINETE","8/2017","3171,64","0,00","0,00","389,35","2782,29"
"10514","21/06/2017","ASSESSOR DE GABINETE","8/2017","3383,08","0,00","0,00","440,94","2942,14"
"10515","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10516","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","362,66","2657,95"
"10518","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","376,88","2643,73"
"10519","21/06/2017","ASSESSOR DE GABINETE","8/2017","3262,26","0,00","0,00","419,59","2842,67"
"10520","21/06/2017","ASSESSOR DE GABINETE","8/2017","3322,67","0,00","0,00","401,82","2920,85"
"10521","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","376,88","2643,73"
"10522","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","348,44","2672,17"
"10523","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","376,88","2643,73"
"10524","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","348,44","2672,17"
"10525","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10526","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10527","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","376,88","2643,73"
"10528","21/06/2017","ASSESSOR DE GABINETE","8/2017","3383,08","0,00","0,00","468,98","2914,10"
"10532","03/07/2017","ASSESSOR DE GABINETE","8/2017","3352,88","0,00","0,00","421,39","2931,49"
"10534","03/07/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","362,66","2657,95"
"10535","01/08/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10536","01/08/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"4907","01/01/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","362,66","2657,95"
"4944","01/01/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"4954","01/01/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","362,66","2657,95"
"4967","01/01/2017","ASSESSOR DE GABINETE","8/2017","3262,26","0,00","0,00","439,56","2822,70"
"4976","01/01/2017","ASSESSOR DE GABINETE","8/2017","3171,64","0,00","0,00","403,57","2768,07"
"4977","01/01/2017","ASSESSOR DE GABINETE","8/2017","3201,85","0,00","0,00","408,90","2792,95"
"10181","01/01/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10286","01/01/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10345","01/01/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","362,66","2657,95"
"10364","01/01/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10365","01/01/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10403","01/03/2017","ASSESSOR DE GABINETE","8/2017","0,00","1258,59","0,00","100,69","1157,90"
"10415","03/04/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","376,88","2643,73"
"10430","01/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10437","01/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10441","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","391,10","2629,51"
"10442","21/06/2017","ASSESSOR DE GABINETE","8/2017","3020,61","0,00","0,00","362,66","2657,95"
"10443","21/06/2017","ASSESSOR DE GABINETE","8/2017","3262,26","0,00","0,00","419,59","2842,67"
"10444","21/06/2017","ASSESSOR DE GABINETE","8/2017","3171,64","0,00","0,00","389,35","2782,29"
"10498","21/06/2017","ASSESSOR DE GABINETE - CEDIDO","8/2017","3020,61","0,00","0,00","368,54","2652,07"
"10309","01/01/2017","ASSESSOR DE IMPRENSA","8/2017","12563,11","0,00","0,00","3026,61","9536,50"
"446","24/10/2014","CHEFE DA CENTRAL DE CONTRATOS E CONVENIOS FG3","8/2017","15077,40","0,00","0,00","3867,75","11209,65"
"386","08/09/2014","CHEFE DA CENTRAL DE PLANEJAMENTO E DESENV. INSTITUCIONAL FG3","8/2017","14143,54","0,00","0,00","3536,46","10607,08"
"10530","21/06/2017","CHEFE DE GABINETE - MEMBROS DA MESA","8/2017","12286,56","47950,86","0,00","2898,43","57338,99"
"10531","21/06/2017","CHEFE DE GABINETE - MEMBROS DA MESA","8/2017","11851,99","0,00","0,00","2674,64","9177,35"
"10310","01/01/2017","CHEFE DE GABINETE DA PRESIDENCIA","8/2017","18229,96","0,00","0,00","4480,72","13749,24"
"10450","21/06/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","14505,94","0,00","0,00","3560,89","10945,05"
"10456","21/06/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","14505,94","0,00","0,00","3456,62","11049,32"
"10467","21/06/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","12398,24","0,00","0,00","2877,00","9521,24"
"10479","21/06/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","13886,03","0,00","0,00","3286,14","10599,89"
"10486","21/06/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","13390,10","0,00","0,00","3254,04","10136,06"
"10529","21/06/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","14505,94","0,00","0,00","3508,76","10997,18"
"10533","03/07/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","17936,12","0,00","0,00","4504,19","13431,93"
"4902","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","12398,24","0,00","0,00","2824,86","9573,38"
"4920","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","12398,24","0,00","0,00","2308,75","10089,49"
"4929","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","12398,24","0,00","0,00","2929,14","9469,10"
"4945","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","14505,94","0,00","0,00","3404,48","11101,46"
"4953","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","12398,24","0,00","0,00","2877,00","9521,24"
"4969","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","13390,10","0,00","0,00","3201,90","10188,20"
"4991","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","12398,24","0,00","0,00","2981,28","9416,96"
"10176","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","13886,03","0,00","0,00","3338,28","10547,75"
"10179","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","18080,77","0,00","0,00","4491,83","13588,94"
"10182","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","13018,15","0,00","0,00","3099,61","9918,54"
"10197","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","12398,24","0,00","0,00","2981,28","9416,96"
"10204","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","13886,03","0,00","0,00","3390,42","10495,61"
"10211","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","12398,24","0,00","0,00","2981,28","9416,96"
"10216","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","12398,24","0,00","0,00","2981,28","9416,96"
"10220","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","12398,24","0,00","0,00","2981,28","9416,96"
"10230","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","12398,24","0,00","0,00","2433,20","9965,04"
"10261","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","12398,24","0,00","0,00","2877,00","9521,24"
"10265","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","17502,18","0,00","0,00","4384,86","13117,32"
"10279","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","12398,24","0,00","0,00","2929,14","9469,10"
"10288","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","13390,10","0,00","0,00","3201,90","10188,20"
"10313","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","12398,24","0,00","0,00","2929,14","9469,10"
"10334","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","13018,15","0,00","0,00","3151,75","9866,40"
"10346","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","12398,24","0,00","0,00","2981,28","9416,96"
"10371","01/01/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","12398,24","0,00","0,00","2877,00","9521,24"
"10386","01/02/2017","CHEFE DE GABINETE DE VEREADOR","8/2017","12398,24","0,00","0,00","2877,00","9521,24"
"10370","01/01/2017","CHEFE DE GABINETE DE VEREADOR - CEDIDO","8/2017","12398,24","0,00","0,00","2676,41","9721,83"
"489","22/06/2015","CONTROLADOR GERAL ADJUNTO FG4","8/2017","16688,11","0,00","0,00","4340,49","12347,62"
"368","25/08/2014","CONTROLADOR GERAL FG5","8/2017","17059,19","0,00","0,00","4442,54","12616,65"
"445","23/10/2014","COORDENADOR DE ALMOXARIFADO FG2","8/2017","12553,19","0,00","0,00","3203,39","9349,80"
"403","16/09/2014","COORDENADOR DE APOIO ADMINISTRATIVO FG2","8/2017","12553,19","0,00","0,00","3203,39","9349,80"
"428","10/09/2014","COORDENADOR DE APOIO ADMINISTRATIVO FG2","8/2017","9783,13","0,00","0,00","2168,58","7614,55"
"282","02/07/1992","COORDENADOR DE APOIO AS COMISSOES FG2","8/2017","23246,08","0,00","0,00","7377,19","15868,89"
"432","09/09/2014","COORDENADOR DE ARQUIVO PUBLICO","8/2017","12553,19","0,00","0,00","3203,39","9349,80"
"195","17/04/1991","COORDENADOR DE ATENDIMENTO AO PLENARIO FG2","8/2017","23246,08","0,00","0,00","7325,05","15921,03"
"417","11/09/2014","COORDENADOR DE ATENDIMENTO AO USUARIO FG2","8/2017","13097,94","0,00","0,00","3344,51","9753,43"
"457","05/11/2014","COORDENADOR DE BIBLIOTECA FG2","8/2017","12553,19","0,00","0,00","3203,39","9349,80"
